keywords,task,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
phonetics,,,,,
schema.org,,,,,
software metadata,,,,,
speech synthesis,Speech synthesis,,,,
text-processing,,,,,
tts,,,,,
Constituency Parsing,,,,,
NER,,,,,
RoBERTa,,,,,
automatic speech recognition,,,,,
constituency parsing,,,,,
converter,,,,,
coreference resolution,,,,,
g2p,,,,,
grammatical error correction,,,,,
inflection,,,,,
neural networks,,,,,
nmt,,,,,
ocr,,,,,
part of speech tagging,,,,,
plWordNet,,,,,
pronunciation,,,,,
speaker diarization,,,,,
text classification,,,,,
xml,,,,,
Alpino,,,,,
Android,,,,,
CorPipe,,,,,
CorefUD,,,,,
Croatian language,,,,,
Extended Reality,,,,,
LLM,,,,,
Large Language Models,,,,,
MWE detection,,,,,
NLP,,,,,
ODISSEI,,,,,
Speech Recognition,,,,,
Speech transcription,,,,,
UD: Universal Dependencies,,,,,
Visualisation of Geographic Data,,,,,
api,,,,,
asr,,,,,
characters,,,,,
corpus,,,,,
corpus harvesting,,,,,
corpus search engine,,,,,
cubbitt,,,,,
dialect,,,,,
diarization,,,,,
digital data,,,,,
digital repository,,,,,
dmii,,,,,
evaluation,,,,,
folia,,,,,
gec,,,,,
gigaword corpus,,,,,
hrvatski jezik,,,,,
islex dictionary,,,,,
lexicon acquisition,,,,,
lexicon acquisition tool,,,,,
machine learning,,,,,
morphosyntactic tagging,,,,,
multi-word units,,,,,
multilingual,,,,,
multiword expressions,,,,,
native speakers,,,,,
natural language generation,,,,,
phonetic transcription,,,,,
pro?irena zbilja,,,,,
punctuation,,,,,
scientific,,,,,
service,,,,,
shallow parsing,,,,,
spelling checker,,,,,
tei,,,,,
temporal expressions,,,,,
treebank,,,,,
veliki jezi?ni modeli,,,,,
vocabulary,,,,,
webservice,,,,,
word parts,,,,,
word sets,,,,,
words,,,,,
Automatic Speech Recognition,,,,,
CorpoGrabber,,,,,
Dependency parsing,,,,,
ELMo,,,,,
End-to-End,,,,,
English,,,,,
EpiDoc,,,,,
Hyphenation,,,,,
MWE,,,,,
Morphological Analysis,,,,,
Neural Monkey,,,,,
Optical music recognition,,,,,
SPOD: Syntactic profiler of Dutch,,,,,
Sentiment Analysis,,,,,
Slovenian news articles,,,,,
Text Enhancement,,,,,
Text-to-speech,,,,,
TimeML,,,,,
Timex,,,,,
Tokenisation,,,,,
Topic Modelling,,,,,
Treex,,,,,
UD,,,,,
Ukrainian,,,,,
Unicode,,,,,
Universal Dependencies,,,,,
accented letters,,,,,
add-on,,,,,
alignment,,,,,
capitalisation,,,,,
character input,,,,,
clustering,,,,,
collocation dictionary,,,,,
collocations,,,,,
conll,,,,,
conllu,,,,,
constituency treebank,,,,,
conversion,,,,,
corpora,,,,,
cross-lingual parsing,,,,,
database,,,,,
dependency treebank,,,,,
dialect variation,,,,,
dialectal variation,,,,,
docker,,,,,
education,,,,,
embeddings,,,,,
event recognition,,,,,
font,,,,,
form,,,,,
grapheme-to-phoneme,,,,,
grapheme-to-phoneme models,,,,,
graphql,,,,,
handwritten notation,,,,,
harvester,,,,,
iec,,,,,
image captioning,,,,,
input system,,,,,
language acquisition,,,,,
language variation,,,,,
learning Python,,,,,
lemma,,,,,
lemmatizer,,,,,
linguistic annotation,,,,,
linked-data,,,,,
macOS,,,,,
meaning representation,,,,,
memory based learning,,,,,
morphological analysis,,,,,
named entities,,,,,
normalization,,,,,
phraseological database,,,,,
plugin,,,,,
portal,,,,,
post-editing,,,,,
relation extraction,,,,,
relation recognition,,,,,
semantic frame,,,,,
semantic role labelling,,,,,
semantics,,,,,
sentence boundaries detection,,,,,
sentiment,,,,,
sentiment analysis,,,,,
standoff,,,,,
summarization,,,,,
syntactic schema,,,,,
synthetic data,,,,,
temporal trends,,,,,
theatre,,,,,
topic classification,,,,,
treebanks,,,,,
valence dictionary browser,,,,,
valence dictionary editor,,,,,
web service,,,,,
webreader,,,,,
AB,,,,,
ABX,,,,,
ASR Front End,,,,,
AVX,,,,,
Acoustic Model,,,,,
Aistika,,,,,
Ancient Languages,,,,,
Assamese CRF++,,,,,
Assamese NLP,,,,,
Assamese POS Tagger,,,,,
Assamese Part of Speech,,,,,
Audio Denoising,,,,,
BlogReader,,,,,
British National Corpus,,,,,
C-value,,,,,
CATMA,,,,,
CCL,,,,,
CSV,,,,,
CoNLL-U,,,,,
Code,,,,,
CorpusExplorer,,,,,
CorpusWorkBench,,,,,
Cypher,,,,,
DRT,,,,,
DSL,,,,,
DTA,,,,,
DeepSpeech,,,,,
Digital Humanities,,,,,
Digital scholarly editing,,,,,
Diversity,,,,,
Docker,,,,,
Domain-Specific Language,,,,,
Entailment,,,,,
EvaLatin 2024,,,,,
Extraction,,,,,
Extraction of Polish terminology,,,,,
FFT,,,,,
FFTW,,,,,
Fast Channelizer,,,,,
Filterbank,,,,,
Frequency Multiplexing,,,,,
GUI Web application,,,,,
Gauhati University,,,,,
Google Docs,,,,,
Graph,,,,,
HPC,,,,,
HTML parser,,,,,
High Performance Computing,,,,,
History,,,,,
Holocaust,,,,,
I5,,,,,
JSON,,,,,
Jews,,,,,
Kaldi,,,,,
Kaldi ASR toolkit,,,,,
Keyword Extractor,,,,,
Knowledge Graph,,,,,
KorAP,,,,,
Korektor,,,,,
LFG,,,,,
LM,,,,,
LSTM,,,,,
Language models,,,,,
LatinPipe,,,,,
Legal,,,,,
LibreOffice,,,,,
Licensing,,,,,
Linguistic Linked Data,,,,,
Linked Lexica,,,,,
Linking and Editing tools,,,,,
Linux,,,,,
Lyric,,,,,
MOS,,,,,
Machine Translation,,,,,
Mapping,,,,,
Metadata Processing,,,,,
Microsoft Word,,,,,
MorfFlex CZ 2.0,,,,,
NEON,,,,,
NKJP,,,,,
NLP tools,,,,,
National Corpus of Polish,,,,,
Nominal phrase,,,,,
OCR,,,,,
Odissei,,,,,
Ontolex-lemon,,,,,
Ontology mapping,,,,,
OpenOffice,,,,,
Oral History,,,,,
PDT-C 1.0,,,,,
POS tagging,,,,,
Pedagogic corpus,,,,,
Phonetics,,,,,
Plaintext,,,,,
Polyphase Filter,,,,,
Princeton WordNet,,,,,
Python,,,,,
R,,,,,
REST API,,,,,
Recipe,,,,,
SDR,,,,,
SIMD,,,,,
SKOS resources for multilingual technical terminology,,,,,
SQuAD,,,,,
SSE,,,,,
SUMO,,,,,
Saper,,,,,
Scottish Gaellic,,,,,
Semantic Relations,,,,,
Semantic graph,,,,,
Semantic parser,,,,,
Semantic role labelling,,,,,
Semantic roles,,,,,
Semantic web,,,,,
Shallow semantic parser,,,,,
SloBENCH,,,,,
SloBERTa,,,,,
SlopeQ,,,,,
Slovenian,,,,,
Software Defined Radio,,,,,
Song lyrics generation,,,,,
Speech Processing,,,,,
Speech analysis,,,,,
Stylometry,,,,,
Summarization,,,,,
Summary,,,,,
T5,,,,,
TIMEX3,,,,,
Text Summarization,,,,,
TrueType,,,,,
Visual History,,,,,
Visualisation of 3D models,,,,,
WSD,,,,,
Wikipedia,,,,,
WoSeDon,,,,,
Word Sense Disambiguation,,,,,
Word2Vec,,,,,
XLM-RoBERTa,,,,,
XPath,,,,,
acoustic model,,,,,
acquiring,,,,,
adolescents voices,,,,,
alignemnt,,,,,
aligner,,,,,
althingi,,,,,
ancient greek,,,,,
android,,,,,
android app,,,,,
arabic,,,,,
arbitrary collocations,,,,,
atrybuty opisw sytuacji,,,,,
autocompletion,,,,,
automatic annotation,,,,,
automatic error detection,,,,,
automatic genre identification,,,,,
automatic semantic and syntactic normalization,,,,,
aws,,,,,
benchmark,,,,,
berkeley neural parser,,,,,
bilingual,,,,,
broadcast,,,,,
builder,,,,,
classification,,,,,
codelibrary,,,,,
collection analysis,,,,,
combined taggers,,,,,
commonsense reasoning,,,,,
comparable,,,,,
computational lexicography,,,,,
conll-u,,,,,
console,,,,,
constituency parser,,,,,
corpora builder,,,,,
corpus creation,,,,,
corpus scans DjVu,,,,,
corpus tool,,,,,
corpus-data,,,,,
corpus-linguistics,,,,,
corpus-processing,,,,,
corpus-tools,,,,,
cultural heritage,,,,,
curricula,,,,,
data collection,,,,,
data portal,,,,,
datasets,,,,,
decision tree,,,,,
deep learning,,,,,
deepened parser,,,,,
delexicalized parser transfer,,,,,
dependency,,,,,
deverbal derivation,,,,,
diacritical marks generation,,,,,
dictionary editor,,,,,
digital archive of cultural heritage,,,,,
digital humanities,,,,,
digital linguistics,,,,,
domain corpora,,,,,
duration,,,,,
e-learning,,,,,
educational games,,,,,
elmo,,,,,
etcbc,,,,,
etcbc-data,,,,,
evaluation-metrics,,,,,
event attributes,,,,,
event relations,,,,,
events relation,,,,,
ewbst,,,,,
extractive question answering,,,,,
f0,,,,,
faceted search,,,,,
fake news detection,,,,,
faroese,,,,,
fastText,,,,,
feature extraction,,,,,
file-viewer,,,,,
fine-tuned massively multilingual pretrained language model,,,,,
finite state transducer,,,,,
formants,,,,,
frequency lists,,,,,
frontend,,,,,
frontend processing,,,,,
function,,,,,
game-based learning,,,,,
gender-bias,,,,,
genre,,,,,
genre classification,,,,,
google translate,,,,,
gpt-sw3,,,,,
grammar checker,,,,,
grammar induction,,,,,
graph methods,,,,,
grapheme-to-phoneme conversion,,,,,
grapheme-to-phoneme rules,,,,,
greek,,,,,
hebrew,,,,,
hebrew-bible,,,,,
history,,,,,
homographs,,,,,
hyphenation,,,,,
hyphenation tool,,,,,
hypothesis generation,,,,,
icelandic,,,,,
icelandic error corpus,,,,,
icenlp,,,,,
igc,,,,,
image annotation,,,,,
image processing,,,,,
inflectional data,,,,,
installer,,,,,
islam,,,,,
java,,,,,
javascript,,,,,
jsonl,,,,,
k-nearest neighbours,,,,,
key words,,,,,
keyboard,,,,,
keyboard driver,,,,,
keyboard layout,,,,,
keyword extraction,,,,,
keyword spotting,,,,,
keywords,,,,,
knn,,,,,
knowledge extraction,,,,,
knowledge graphs,,,,,
kotlin,,,,,
language data science,,,,,
language modelling,,,,,
language processing workflows,,,,,
language repository,,,,,
languagedetection,,,,,
large,,,,,
large language model,,,,,
large language models,,,,,
learner corpus,,,,,
learning content,,,,,
lemmatiser,,,,,
lexical units,,,,,
lexico-semantic relations,,,,,
lexicography,,,,,
lexicography slips Djvu browser indexer,,,,,
linear regression,,,,,
linguistic data,,,,,
linguistic research data management,,,,,
linguistic search engine,,,,,
literary NLP,,,,,
llm,,,,,
localization,,,,,
long-term archive,,,,,
mapping,,,,,
mean opinion score,,,,,
medieval,,,,,
metadata extraction,,,,,
metadata-extractor,,,,,
mobile devices,,,,,
mobile keyboard,,,,,
modality,,,,,
modality relations,,,,,
models,,,,,
morpho-syntactic tagging,,,,,
morphological analyzer,,,,,
morphological dictionary,,,,,
morphological generation,,,,,
moses,,,,,
multi-task model,,,,,
multi-word phrase inflection,,,,,
music notation,,,,,
mysql,,,,,
naf,,,,,
named entites,,,,,
named entity recognizer,,,,,
natural language analysis,,,,,
nde,,,,,
ner,,,,,
neural parsing,,,,,
ngrams,,,,,
nominal phrases,,,,,
parallel,,,,,
parallel corpus,,,,,
parliamentary,,,,,
parsing pipelines,,,,,
part of speech,,,,,
patial role labelling,,,,,
pattern discovery,,,,,
pattern recognition,,,,,
phoneticizer,,,,,
phonetisation,,,,,
poetry,,,,,
pos,,,,,
prepositions,,,,,
programming,,,,,
project management,,,,,
pronunciation dictionary,,,,,
proper names,,,,,
punctuation prediction,,,,,
python,,,,,
query translationn,,,,,
question answering,,,,,
readability,,,,,
recognition,,,,,
recogniton,,,,,
relations between events,,,,,
relative frequency,,,,,
research data repositories,,,,,
rest,,,,,
rule-based extraction,,,,,
rv,,,,,
rv-di speaker diarization,,,,,
s3,,,,,
samrmur,,,,,
scans DjVu,,,,,
scholerly annotation,,,,,
search engine,,,,,
search-engine,,,,,
segmenter,,,,,
semantic base,,,,,
semantic knowledge base browser,,,,,
sequence modeling,,,,,
sex ed,,,,,
shallow parser,,,,,
skipgrams,,,,,
slovenian language,,,,,
sm,,,,,
software distribution,,,,,
spatial expression recognition,,,,,
spatial expressions,,,,,
speech tools,,,,,
spellchecker,,,,,
spellchecking,,,,,
standards,,,,,
statistical machine translation,,,,,
structure bank,,,,,
stylometry,,,,,
supermatrix,,,,,
syntactic structures,,,,,
syntax-semantics interface,,,,,
tagging,,,,,
tagset,,,,,
teaching material,,,,,
teaching with corpora,,,,,
tei-xml,,,,,
tensor2tensor,,,,,
terminal,,,,,
terminology,,,,,
terminology extraction,,,,,
testing,,,,,
text,,,,,
text analysis,,,,,
text clustering,,,,,
text denormalisation,,,,,
text normalisation,,,,,
text normalization,,,,,
text pre-processing,,,,,
text summarization,,,,,
text-based,,,,,
text-fabric,,,,,
textprocessing,,,,,
textrank,,,,,
texttospeech,,,,,
thematic vowels,,,,,
tool,,,,,
toolbox,,,,,
toolkit,,,,,
transcription,,,,,
transcription tool,,,,,
translation,,,,,
unsupervised machine learning,,,,,
upload,,,,,
verb,,,,,
verbal morphology,,,,,
verbal prefixes,,,,,
verbal stress pattern,,,,,
virtual workspace,,,,,
visualization,,,,,
voice activity detection,,,,,
web application,,,,,
web crawling,,,,,
web scraping,,,,,
web services,,,,,
web-annotation,,,,,
web-annotation-protocol,,,,,
wikipedia,,,,,
wildfly,,,,,
wordclouds,,,,,
wordnet,,,,,
wordnet editor,,,,,
wsd,,,,,
wyznaczniki modalno?ci,,,,,
xlm-roberta,,,,,
xquery,,,,,
